tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
54-62-6,AMINOPTERIN,suspected,False,False,False,False,True,False,False,False,True,False,False,True
54-64-8,THIMEROSAL,recognized,False,False,True,False,False,False,False,False,False,False,False,False
54-64-8,THIMEROSAL,suspected,False,False,False,False,False,True,True,False,False,False,False,True
54-85-3,ISONICOTINIC ACID HYDRAZIDE,suspected,True,True,False,False,True,False,True,False,True,False,True,True
54-91-1,PIPOBROMAN,recognized,False,False,True,False,False,False,False,False,False,False,False,False
540-54-5,1-CHLOROPROPANE,suspected,False,True,False,False,False,False,False,False,False,False,False,False
540-59-0,"1,2-DICHLOROETHYLENE",suspected,False,True,False,False,True,False,True,False,True,False,True,False
540-73-8,"1,2-DIMETHYLHYDRAZINE",recognized,True,False,False,False,False,False,False,False,False,False,False,False
540-73-8,"1,2-DIMETHYLHYDRAZINE",suspected,False,True,False,False,True,False,False,False,True,False,True,True
540-84-1,"2,2,4-TRIMETHYLPENTANE",suspected,False,False,False,False,False,False,True,False,False,False,False,True
540-88-5,TERT-BUTYL ACETATE,suspected,False,False,False,False,False,False,False,False,True,False,False,False
5409-83-6,"2,8-DICHLORODIBENZOFURAN",recognized,True,False,False,False,False,False,False,False,False,False,False,False
541-25-3,LEWISITE (ARSENIC COMPOUND),suspected,False,False,True,False,False,False,False,False,False,False,False,False
541-41-3,ETHYL CHLOROFORMATE,suspected,False,False,False,False,True,False,True,False,False,False,True,True
541-53-7,DITHIOBIURET,suspected,False,False,False,False,False,False,False,False,True,False,False,False
541-73-1,"1,3-DICHLOROBENZENE",suspected,False,True,False,False,True,False,True,False,False,False,True,False
